model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
LSTM,0.05,2,128_64,32,30,32,23021.344008741526,99.88626685781395
GRU,0.05,2,128_64,64,30,32,11665.053973802202,66.83276514004963
LSTM,0.05,2,128_64,64,30,32,23028.885652738798,99.79679144501758
GRU,0.05,2,128_64,128,30,32,12843.840601250497,71.28526425380898
LSTM,0.05,2,128_64,128,30,32,12051.122094275439,69.55489407766812
GRU,0.05,2,256_128,16,30,32,10643.041472133527,64.97414423124437
LSTM,0.05,2,256_128,16,30,32,10325.992731371387,60.21615032921391
GRU,0.05,2,256_128,32,30,32,11717.485690051131,66.93870056584873
LSTM,0.05,2,256_128,32,30,32,16026.14972912178,76.74310533066397
GRU,0.05,2,256_128,64,30,32,11524.808600492608,66.2371222077841
LSTM,0.05,2,256_128,64,30,32,23020.720897059873,99.59674845078472
GRU,0.05,2,256_128,128,30,32,23018.333455735115,99.9974930336084
LSTM,0.05,2,256_128,128,30,32,23016.236989967776,99.99954658304668
GRU,0.05,3,512_256_128,16,30,32,13018.015040284901,77.83140683435937
LSTM,0.05,3,512_256_128,16,30,32,10031.812704800659,59.8864661188629
GRU,0.05,3,512_256_128,32,30,32,18065.07860988569,80.30940404334
LSTM,0.05,3,512_256_128,32,30,32,10983.254861468991,63.75456189992404
GRU,0.05,3,512_256_128,64,30,32,14231.683002874388,74.79879168257729
LSTM,0.05,3,512_256_128,64,30,32,12155.453144451696,67.3398276421193
GRU,0.05,3,512_256_128,128,30,32,23022.493073061545,99.62806754715751
LSTM,0.05,3,512_256_128,128,30,32,14183.921184537521,76.7321622150577
GRU,0.05,3,256_128_64,16,30,32,13214.954457077429,75.46413770837731
LSTM,0.05,3,256_128_64,16,30,32,10592.373886208446,62.48882092059594
GRU,0.05,3,256_128_64,32,30,32,23033.02229940595,98.95181791872858
LSTM,0.05,3,256_128_64,32,30,32,13228.670594971625,72.3997354787504
GRU,0.05,3,256_128_64,64,30,32,14696.644550750205,78.24353716965425
LSTM,0.05,3,256_128_64,64,30,32,23035.967849400986,101.18228061008283
GRU,0.05,3,256_128_64,128,30,32,23019.620579565493,99.6013201654885
LSTM,0.05,3,256_128_64,128,30,32,23025.96648205826,99.21847671578519
GRU,0.05,3,128_64_32,16,30,32,14413.55355973815,73.85580165778906
LSTM,0.05,3,128_64_32,16,30,32,10785.501681480355,64.75701942941559
GRU,0.05,3,128_64_32,32,30,32,13601.595611784487,76.5686805810492
LSTM,0.05,3,128_64_32,32,30,32,23019.525120920673,99.5177127192625
GRU,0.05,3,128_64_32,64,30,32,23017.47822855482,100.10577316339761
LSTM,0.05,3,128_64_32,64,30,32,23019.250107299635,100.2159838231733
GRU,0.05,3,128_64_32,128,30,32,23023.820113132235,99.26703086856564
