model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.749137722283,99.86252559927397
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.585096468774,100.09174624884616
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.122709453542,100.0271511814343
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.50444934526,100.05649279291184
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.40991865795,99.9314298651362
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.69009769894,99.80742125248102
Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.468434407132,99.6758342457683
Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.261584965014,99.85015068031461
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.55777648768,100.2210855367918
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.1148133258,99.98130968744309
Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.079984892676,99.69544668679553
Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.051185030363,100.33766447921582
Transformer,0.005,5,512_256_128_64_32,32,30,32,23017.2487928306,100.30685103803181
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.991322117774,100.2087604904958
Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.817250870816,100.02911641079035
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.2547057584,99.9097121700229
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.508507522227,100.01123911287068
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.48570130498,99.80104644308501
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.049689820622,100.08145056833881
Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.2295280834,100.29226226776323
Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.219771577897,99.9936153507618
Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.349189198943,99.84062549316438
Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.83272724239,99.74938616394815
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.79104288648,100.27733076603272
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.104610838,100.03471458167759
Transformer,0.005,5,512_256_128_64_32,32,30,32,23017.359543225648,100.26598828267291
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.708529661268,100.10298024735961
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.75383717465,100.13925296978742
Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.40892036388,99.9133421905657
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.629411800088,100.14438735029147
